id,title,average_rating,budget,worldwide_gross,runtime
437,Before the Flood,8.2,19000000.0,988.0,96
438,Saptha Sagaradaache Ello - Side A,8.2,19000000.0,37253.0,142
439,The Mole: Undercover in North Korea,8.2,1991181.0,6130561.0,123
440,Racing Extinction,8.2,1500000.0,6130561.0,90
441,Harlan County U.S.A.,8.2,19000000.0,6130561.0,103
442,American Utopia,8.2,19000000.0,258556.0,105
443,Theeran Adhigaaram Ondru,8.2,19000000.0,238484.0,157
444,Chithha,8.2,19000000.0,7664.0,140
445,Dhuruvangal Pathinaaru,8.2,19000000.0,6130561.0,105
446,Ballada o soldate,8.2,19000000.0,6130561.0,88
447,Shahid,8.2,1000000.0,377803.0,129
448,Sluzhebnyy roman,8.2,19000000.0,6130561.0,159
449,Bizim Için Sampiyon,8.2,19000000.0,6214362.0,130
450,Guizi lai le,8.2,19000000.0,18944.0,139
451,Jung Kook: I Am Still,8.2,19000000.0,10763217.0,90
452,Obchod na korze,8.2,19000000.0,6130561.0,128
453,Paan Singh Tomar,8.2,19000000.0,40311.0,135
454,Hearts and Minds,8.2,19000000.0,28754.0,112
455,Cep Herkülü: Naim Süleymanoglu,8.2,19000000.0,4920899.0,141
456,Uncle Tom,8.2,19000000.0,6130561.0,106
457,Khosla Ka Ghosla!,8.2,19000000.0,40194.0,135
458,Padayappa,8.2,19000000.0,440000000.0,181
459,Mathu Vadalara,8.2,19000000.0,7035.0,130
460,Mis,8.2,19000000.0,6130561.0,111
461,Vaaranam Aayiram,8.2,140000000.0,921007.0,169
462,The Art of Flight,8.2,2000000.0,158532.0,80
463,Garuda Gamana Vrishabha Vahana,8.2,10000000.0,6130561.0,151
464,Drushyam,8.2,19000000.0,200000000.0,150
465,Kadhalukku Mariyadhai,8.2,19000000.0,24849.0,165
466,The Crash Reel,8.2,19000000.0,6130561.0,108
467,Ivan Vasilevich menyaet professiyu,8.2,19000000.0,6130561.0,88
468,Cuba and the Cameraman,8.2,19000000.0,6130561.0,113
469,Jigarthanda,8.2,300000000.0,24274.0,171
470,The Conversion,8.2,60000000.0,6130561.0,134
471,Bommarillu,8.2,19000000.0,6130561.0,170
472,Pelli Choopulu,8.2,7500000.0,6130561.0,125
473,Ustad Hotel,8.2,19000000.0,2178.0,151
474,One More Time with Feeling,8.2,19000000.0,904440.0,113
475,12 stulev,8.2,19000000.0,6130561.0,153
476,V Boy Idut Odni 'stariki',8.2,500000.0,6130561.0,92
